,True Captions,RNN With Dropout Layers,RNN Without Dropout,LogisticDecoder
241347204_007d83e252.jpg,"['a football player in red and white is holding both hands up', 'football players gather around the referees', 'football players gathering to contest something to collaborating officials', 'oklahoma university football players in front of a crowd of sooners fans and next to three referees', 'the red and white football team is talking with the officials']",a softball player wearing a black and yellow jersey has a girl's hands,a pitcher holding a blue play ball kicks the baseball,an football player dressed basketball sooners white in the number front crowd on
241347243_c751557497.jpg,"['football player quarterback in red sooners jersey and red helmet prepares to receive snap', 'football players huddle and get ready for the game', 'football players stand at the line of scrimmage', 'oklahoma sooner football players on the field', 'the sooners quarterback is waiting for the snap from his center']",a rugby player at a ball,a quarterback competing in a playing in front of the water,an football player has red sooners white in uniforms
241347496_1a35fec8dc.jpg,"['a football player holding a football', 'a football player in red gets ready to throw a football', 'a lone football player wearing a red and white jersay holding a football', 'the football player dressed in red and white gets ready to throw the ball', 'the football player gets ready to throw the ball']",a cricket team during a soccer game of about onto a college club,a dust scene of a young man pushes her bundled-up dog as they run the ball holding bike,an football coach has a sooners
2417745327_a2c2705043.jpg,"['a brown dog runs through the water as a wave comes', 'a brown dog runs through the water in the ocean', 'a dog is running through the ocean', 'the brown dog is running in the water', 'the brown dog is running parallel to the waves in the water']",a brown dog jumping on a a sandy beach,a large black dog is running in shallow water,a brown dog dog dog water into through beach a setting
242109387_e497277e07.jpg,"['a boy bounces in an inflatable playhouse', 'a boy in a blue shirt plays in a jumping tent', 'a boy jumping in a moonwalk', 'a kid takes flight inside a multicolored balloon bounce house', 'a young boy jumping in a jumping castle']",a blond child sitting on a blue scooter,a toddler runs through a green field of colorful balls,the girl girl a a over stands flip down on of a slide of slide
2423085253_6c19149855.jpg,"['a child running outside with a bright colored ball next to her', 'a little girl in a red and white shirt is playing with a inflatable ball', 'a little girl is running by a colorful ball on the grass', 'a little girl running in the grass kicking a beach ball', 'the girl is running on the grass next to a colorful toy']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,boy child kicks is a with blue his outside ball a catch ball from
2430860418_fd0726f414.jpg,"['a dog running in the sand', 'a white dog is running on sand', 'a white dog running on a dirt field', 'the white dog with pointed ears is running on the dirt', 'two white dogs outside on a sunny day']",a golden retriever jumps on a red chest with his mouth wide open,a furry black dog is running in sand,a dog in is dog back in green
2432038587_5e4148e277.jpg,"['a black dog chasing geese', 'a dog chases two geese', 'a dog chasing geese in an open field', 'a large black dog is chasing two geese in a field', 'dog runs after two geese in field']",a golden retriever jumps on a red chest with his mouth wide open,a pack of dogs with white and green trying to a bigger animal,a large of is one stick stick in the a stick catch setting of
2439154641_bbf985aa57.jpg,"['a man in a gray shirt jumps in the air', 'a man in shorts and a t-shirt is jumping in front of a desert landscape', 'a man jumping', 'a man jumping in front of a mountain', 'a man wearing a gray shirt jumps through the air with mountains in the background']",a cyclist jumps up on a large mound of mountains,a town full of people on a mountainside,the people is a a during into ocean surfboard a in a frisbee of catch
2439384468_58934deab6.jpg,"['two black and brown dobermans running in a field playing ball', 'two black and brown dogs are running through a field', ""two doberman's run through a field while one of them holds a tennis ball in its mouth"", 'two dogs run around together in the field', 'two large black dogs one with a ball in its mouth are running through tall grass']",a tan dog jumping on a blue hillside,a grey dog running in a snow garden,the dogs and chase and plays to in lake some in a lawn with stick
2443512473_6f5a22eb42.jpg,"['a black and white agility dog weaving between poles', 'a black and white dog running between poles', 'a black and white dog weaves between metal bars', 'a competition dog running between poles', 'a dog weaving through an obstacle course']",a smaller white dog is running in grass,a short brown dog is running in some sand,the black and white dog red through in hurdle white and blue blue a
2449446913_28fa5b7c75.jpg,"['a group of baseball players wearing blue uniforms walk across the grass', ""a men's baseball team leaving the field"", 'a team of baseball players in blue uniforms walking together on field', 'group of people on a ball team wearing blue and white uniforms some of gloves on their hands one is wearing red shoes tall trees are in the background', 'twelve members of a baseball team walk across the diamond']",a boxer jumps over a large water block,a teenage girl running in a grass area,woman group of teenagers trying to white in
2449518585_113dc4a8e5.jpg,"['a girl swings on a nice day', 'child in a striped shirt is swinging from a rope swing', 'girl swinging on a swing outside in a wooded area', 'the blonde girl with the blue stripe shirt is swinging', 'the young girl is on a swing outdoors']",a male jumps over a rock,a bearded woman with a brown shirt talking on his bike who has her skateboard,a child kid a red brown short his from
2452686995_621878f561.jpg,"['a beautiful waterfall with two people walking on the road beside it', 'a beautiful waterfall flows down the side of a mossy rock wall', 'a waterfall cascades into a shallow pool', 'a waterfall splashes into a pool at the bottom of a steep grassy hill', 'two people travel down a path going though a woods with a giant waterfall']",a windsurfer paddles through a race,a blonde haired girl in a white hooded dress that is punching his shirt in a park,an people splashes under in between water in standing stream water the
2455286250_fb6a66175a.jpg,"['a boy throws a soccer ball from the sidelines in a soccer game', 'a child holding a soccer ball over his head', 'a child holds a soccer ball above their head while a group of seated people watch', 'a child holds a soccer ball while people watch', 'a girl in a sports outfit balances a soccer ball on her head']",a pair looks up in a small games,a shirtless man jumps on a blue inflatable structure,boy girl of is purple ready their in white field and an ball the
246041128_bedb09ed74.jpg,"['a girl with blonde hair and a black shirt', 'a woman sits at an outdoor cafe table with really big blond hair', 'a woman who is wearing red lipstick and has curly hair sits at a table', 'a woman with bright red lipstick and big blonde hair sitting at an outside cafe', 'a woman with thick curly blond hair sits outdoors at a table']",a girl's hands before a stream,a barefoot child with a green shirt climbing the railing,woman people of is sitting in top in tank
246231741_882b45c4e1.jpg,"['a dog wearing a yellow collar is bearing his teeth at another dog that is sitting by a tree', 'a german shepherd is showing its teeth as it growls at another german shepherd', 'a german shepherd barking at another german shepherd in a forest', 'two german sheperds snarling at each other', 'two german sheppard dogs are fighting']",a golden retriever jumps on a red chest with his mouth wide open,a grey dog playing with a black dog and ball,the german standing is stick the through black
2469351714_d72becd21e.jpg,"['a child is leaping into the air from a sand dune near the beach', 'a girl jumping high off of the sand', 'a girl jumping on a sand dune at the ocean', 'a young girl jumping in the sand on the beach', 'the little girl jumps up into the air with the sand beneath her']",a family lies on a beach,a female skinned woman is playing a mini red man,the group of a a the beach in pants shorts a a in
2469498117_b4543e1460.jpg,"['a dog races while wearing number', 'a greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track', 'a muzzle greyhound dog running on a track', 'a tan greyhound wearing a gold shirt with a number on it runs down a track', 'muxzzled greyhound leaping in race with yellow jacket']",a bicycler rides his bike on a racetrack,a dune motorbike airborne,muzzled people competing on a the game track rugby
2472678549_67068a1566.jpg,"['a boy in the bathroom wearing a spiderman t-shirt holding a ball and a toothbrush', 'a boy is in the bathroom holding a green ball and a toothbrush', 'a boy wearing spiderman clothes standing in a bathroom', 'a kid in a spiderman outfit holds toothbrush and ball in the bathroom', 'a little boy is in a bathroom holding a green ball']",a male jumps over a rock,a kid stands on a wall,the girl girls is his a a surrounded the gym bowl
2472720629_d9a6736356.jpg,"['a father and son are flying a red kite', 'a man and a child are flying a kite in a field in the city', 'a man and boy are flying a kite together', 'an adult and a child fly a kite together', 'man and boy fly kite in park']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,girl group of is on dog beach in bridge of bridge a
2472896179_245e7d142f.jpg,"['a man about to paraglide from the water', 'a man glides on top of the water', 'a man is pulled through the water on a large ski', 'a man on the sea', 'man holding harness waterskiing']",a wakeboarder stands on a beach,a maroon bushes sits in a blue sea,the girl in throws the skiing the out river by water water huge grassy water
2480664591_e6d22ed61c.jpg,"['two people are on a very small boat on the water with big trees in the background', 'two people are riding in a canoe near a forest', 'two people are rowing a canoe through the water', 'two people in a boat paddle their way past large trees', 'two people row a boat']",a mother climbs down a beach,a wakeboarder flies across the water,the group of is boat of into in surfboard
2505360288_c972bd29c4.jpg,"['a daschund with an open mouth appears to bark at a bubble making machine in the grass', 'a dog trying to catch bubbles from a bubble machine in the grass', 'a small brown dog in the grass trying to catch bubbles', 'a small brown dog playing with bubbles in grass', 'a wiener dog bites at bubbles made by a bubble blowing machine']",a german shepherd runs in a field of long grass,a show colored dog is running in midair that flowers,there dog dog is in grass a of outside field and
2506892928_7e79bec613.jpg,"['three children in a field with white flowers', 'three children one with a stuffed kitten in a field of flowers', 'three children play in the garden', 'three children pose among wildflowers', 'three kids palying with a toy cat in a garden']",a male jumps over a rock,a rider stands and riding a red roller scooter at a drivers alley,the blonde girls is sits running dress on down camera trail
2510029990_7014f907cb.jpg,"['a boy slides down a slide with his legs apart', 'a little boy sliding down a slide while laughing', 'a smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass', 'child in a blue hoodie and shorts is sliding down a slide', 'the boy is sliding down a metal slide']",a male jumps over a rock,a very female girl in a white flowered dress pulling a cannonball off the beach,the in riding is white outside in in picture can the a sweater his while
2516317118_10ae66b87a.jpg,"['a little boy is putting some cutout letters on the wall', 'a small child is playing with cut-outs of the letter p', 'a toddler sticks paper p letters to a wood paneled wall', 'the child is sticking paper letters to a wooden wall', 'toddler in pajamas plays with paper cutouts of the letter p']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a dog in a in dog stuffed on the a brown away with and group
2518853257_02f30e282e.jpg,"['two individuals sit on a park bench', 'two people in chairs reading', 'two people in lawn chairs reading books', 'two people with brown hair sitting on chairs and huddled over book near flowers', 'two women on green chairs are looking at a book']",a kayaker preparing to catch a snow buried hose,a bunch of children in the grass skate float on a cobblestone street,woman girl of teenagers at
2522467011_cc825d89ac.jpg,"['a girl in a red and white dress is playing with hula hoops', 'a girl in a red skirt with some hula hoops', 'a little girl hula hoops with multiple colorful hoops', 'a little girl in a long red skirt is hula hooping with four brightly colored hula hoops', 'the small girl in the red skirt played with the hula hoops']",a male jumps over a rock,a construction worker wears a red and yellow sports outfit,woman girl riding a a dog stands black dress a a a with sits of
252504549_135b0db5a3.jpg,"['a dog having fun with a tennis ball', 'a dog on the beach has a ball in its mouth', 'a small dog is playing with a ball on the sand', 'a white dog is playing with a ball on the beach', 'small dog catching a ball in its mouth on a beach']",a few little dogs are wearing and sweaters are playing a deer at a beach,a furry black dog is running in sand,boy small in dog dog is with in beach grass across beach the the
2526041608_a9775ab8d7.jpg,"['a boy in a yellow uniform carrying a football is blocking another boy in a blue uniform', 'a football player in a yellow jersey is pushing away another player', 'the young football player is trying to avoid being tackled', 'two boys playing football on opposing teams', 'two young football players wearing blue and yellow uniforms fight for the ball']",a bunch of football players in a stadium,a closeup at the street,a football players shorts a ready helmet his uniforms
2540751930_d71c7f5622.jpg,"['a man and woman walk away from the camera as a redheaded man walks in the other direction', 'pedestrians walk on a sidewalk next to a grassy wooded field', 'people are walking around a park area', 'people meandering around in a grassy area with trees', 'young adults dressed casually walk around in a field']",a girl's hands goes through a brown ship,a closeup of a girl in a circle watching water,an group laugh in a a beach of as
2541901399_0a57f4cc76.jpg,"['a little boy walks with a woman wearing red in a wheelchair', 'a toddler in a green and yellow jersey is being followed by a wheelchair bound woman in a red sweater past a wooden bench', 'a woman in a wheelchair and a toddler at a park', 'a woman in a wheelchair and orange sweater follows a young boy in a park', 'a woman in a wheelchair follows a young boy at a park']",a male jumps over a rock,a cyclist jumps along a grassy mountain doors,an man riding at a path stunt his from and with a a building street
2543017787_9720b4fa1c.jpg,"['a child in a red shirt and hat enjoys a tire-shaped swing at the playground', 'a child rides a swing', 'a girl in a red shirt is on a tire swing', 'a small child riding on a ring swing', 'a young child wearing a red shirt swinging on a faux tire swing']",a blonde child sitting on a blue scooter,a kid looks into a blue and pink bikini flag,a blonde girl waves wearing is stands water front shoulder mouth a a his to
2543247940_083f1b7969.jpg,"['a large white dog is playing with a large stick', 'a white dog lays on green grass while chewing on a stick', 'a white dog wearing a leash laying down and chewing on the end of a stick', 'a white dog with a collar and leash is about to chew on a stick', 'the white dog is lying on the grass and chewing a piece of wood']",a animal jumps over a blue ball near the edge of another black and white dog,a yellow dog running in a snow setting,a tan runs at a the in
2545363449_1985903f82.jpg,"['a girl in a yellow dress is standing on the pavement outside a store', 'a girl in a yellow dress looks at a restaurant building', 'a girl in yellow dress near a restaurant', 'a little girl in a yellow dress is standing in front of a restaurant', 'a young girl wearing a yellow dress gray pants and flip flops is standing in front of a restaurant']",a blond girl with a child in her hands up a buzy floor,a bunch of children in the street crowd dressed by boy hard by,an is in dresses at of a a white white front away woman bags
2546667441_bbe87a6285.jpg,"['a black dog is walking along the grass sniffing at the ground', 'a black dog running in the grass', 'a dog sniffs the grass', 'black dog on grass sniffing the ground', 'black dog with tan markings wearing a blue collar standing on green grass']",a light brown dog is running in grass,a big brown dog is running in front of an a pathway,the black wrestle is ball the the the across
255091930_aa2b5c0eb9.jpg,"['a black guy in a apron grilling cornstalks', 'a chef prepares roasted corn', 'a man in an apron grilling corn', 'a man is cooking corn in a restaurant', 'a man with an apron cooks husks of corn']",a couple dressed in a black and yellow metal room,a row of some water at a carnival,woman people wearing down at t-shirt a their market
2553619107_d382a820f9.jpg,"['a kayaker tumbles over', 'kayaker is in rough water', 'kayaker tips his kayak in the white water rapids', 'man in yellow kayak falls in the rapids', 'someone is kayaking in a yellow kayak over choppy waters']",a lone skier riding a orange bike behind the mountains,a scuba diver is with a red sail on a blue canoe in the ocean,the group in river at though in in beach rough wave
2555622234_3e531e4014.jpg,"['a black and brown dog is running on the beach', 'a brown and black dog walks along a rocky beach', 'a dog running on the beach', 'a shepherd breed dog running on the beach', 'a wet german shepherd runs along the waves on a beach']",a tan dog jumping on a red short body of water while other black and white dogs running in the snow,a fluffy black dog is running in shallow water,two dogs dog is stick of in in beach near stick of its with tennis
2560278143_aa5110aa37.jpg,"['a beagle is playing in the grass', 'a beagle walks down a grassy hill', 'a black and brown dog walks down a dirt and grass hill', 'a young beagle playing in the grass', 'basset hound on a grassy slope']",a german shepherd runs in a field of long grass,a german shepherd running in a snow setting,a golden of is a grass stick in water its and his water its a
256085101_2c2617c5d0.jpg,"['a dog with its mouth opened', 'brown and white dog yawning', 'close-up of dog in profile with mouth open', 'dog yawns', ""the dog's mouth is open like he is yawning""]",a spotted dog runs on a small sandy sand covered in autumn leaves,a rodeo rider climbing a rock,the dog bulldog at each jumps the on as bank
2561212119_1af8cb9b5d.jpg,"['a black dog standing in the water', 'a black dog wearing a red collar is standing in a stream with its tongue out', 'a black dog with a red collar stands outside with his paws in water', 'a wet black lab with a red collar is standing in the water', 'black dog stands in river']",a wet black dog is running in snow,a tan dog jumping in the water with his legs,the black are is through the sandy to beach teeth beach
2561334141_0aacefa5e7.jpg,"['a man holds a ball in the air for a brown dog to catch on the beach', 'a man in jeans plays with a white and brown dog at the beach', 'a man playing with a ball toy with his brown dog', 'a man plays with his dog making him jump for food', 'a man with a stick and ball is playing with his dog at the beach']",a few men stand in a snow stretch indoors,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a and is is shorts the into blue beach a in a hand and
2561341745_2d77d3ff7d.jpg,"['a thin girl in black smokes a cigarette', 'a woman dressed in black and white smokes a cigarette in a grassy area', 'a woman wearing a plaid skirt stands holding a cigarette', 'the woman in the black coat is standing with a cigarette in her hand', 'women wearing black standing and smoking']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,an girl in a a the large in mouth walks umbrella a hand walks
2561481438_447b852e4d.jpg,"['a black dog soaked in liquid jumping to the grass', 'a brown and black dog jumping out of a pond', 'a dark dog jumps out of the water and onto the grass', 'a dog playing in water', 'a wet brown dog is jumping from some water onto the grass']",a large black dog is running in some water on a sunny day,a fluffy black dog is running in sand,the black and is dog dog looking in water a stick
256292144_b53aadae27.jpg,"['a brown and white dog is running across the grass', 'a brown and white dog is running in a grassy park like setting', 'a brown dog is running across a low cut field of grass with another dog and onlookers nearby', 'a bulldog is running through a grassy park while people stand in the background', 'a dog runs across the grass']",a furry black dog is running in grass,a shaggy white dog is running in wet sand with a multicolored house in the background,the lean dog is shorts on to on the on in his with other
2565618804_8d7ed87389.jpg,"['a boy in a swimsuit sitting on top of a circular fountain', 'a boy is perched on a mushroom shaped fountain', 'a boy next to the opening of a fountain', 'a crowd watches from the background as a young male sits atop a round shaped water fountain', 'a girl kneels on a round fountain that sprays water into the air']",a few men stand in a running ripping rink,a blonde haired girl in a white hooded dress that is punching his shirt in a park,children girl in is shirt is overlooking his water one slide fountain cement
2565685680_c30972455d.jpg,"['a black animal or two are in the water', 'a black dog plays around in water', 'an animal with black fur splashing about in relatively deep water', 'the three black dogs are swimming very close to each other', 'three black dogs retrieving an item from a body of water']",a black dog jumps on a a lake in water,a tan dog walking in the water and fallen water,a black dog is white water water water shallow
2573141440_28a762d537.jpg,"['a child in a swing', 'a little girl in a yellow outfit sitting in a blue yellow and red swing', 'a toddler with blue eyes sits in a blue swing with grass in the background', 'blue-eyed baby in toddler swing', 'the small child is sitting in a red playground swing']",a baby rides backwards,a toddler runs down a bike,the girl pink shirt a red in roller who toy slide covered very is is
2575647360_f5de38c751.jpg,"['a few people are sitting inside of a building with lots of photography on the walls', 'four people in a dimmly lit room with pictures all over the walls and two bright lights are engaging in conversations', ""people gathered in an artist's studio"", 'several people are sitting inside a dark art gallery', 'some people are mingling in a room that has photographs all over the walls']",a band stands and red brown and black male market a obese presentations,a wedding worker with a black shirt riding on his bike who has a red jacket in the background,the man is a at near beach on dimly are a chair in
257588281_39e1c9d929.jpg,"['a black dog chases a brown dog with a stick through the water', 'a brown dog is running through water with a stick in its mouth', 'two dogs playing in the water with a stick', 'two dogs playing with a stick in the water', 'two dogs running through the water with a stick']",a black dog jumps in the water while running through a fallen river,a tan dog jumping in the water and all sitting in dirt,the black dog is in stick the the splashing ocean stick water hand of water
2580215443_4e64afe3d5.jpg,"['a group of people are standing in a line looking off in different directions', 'a group of people are standing together on the pavement', 'a group of people stand in a loose line on a brick ground', 'a group of people stand in a line on the concrete tiles', 'the people are waiting in line']",a shoe reaching from a brick,a bride dances with a black and red bicycle,four group of people at the line in is a of an the a standing
258476074_f28f4a1ae6.jpg,"['a group of cars parked on a hill', 'a group of off road vehicles parked together high in the mountains', 'a group of vehicles are parked on a hill in the fall', 'a line of off-road vehicles is parked on the hill outside a wooded area', 'many cars parked on a mountain']",a silhouette of a man in a parka climbs over a snowbank,a professional truck biker in a black t-shirt riding her red motorbike jump,a yellow riding is grass yellow range lot the and of a forest
2587017287_888c811b5a.jpg,"['a big tan wet dog in shallow water', 'a brown dog gets wet in the water', 'a brown dog walks through natural water', 'a soaking wet dog walks across a stream', 'a wet golden retriever is walking through a lake']",a brown dog jumping on a a sandy beach,a large black dog is running in shallow water,a black dog through dog of the as standing the stick
2589308405_e208b5e745.jpg,"['two children are having a sack race', 'two children jumping in potato sacks', 'two girls are hopping in burlap sacks across a field in front of a fence around a tennis court', 'two girls are in a sack race', 'two girls hopping in potato sacks']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,the girl with playing a is has in wings is a a white is and
2591455200_2319651f2f.jpg,"['a little girl in an orange shirt is inside a corrugated metal tunnel', 'a little girl wearing an orange halloween shirt with long blond hair and blue eyes crawls through a tunnel', 'a young long girl climbing through a tunnel', 'small girl in tunnel', 'the beautiful young girl goes through the tube']",a bunch of children on a small trampoline and goggles,a family sits on a rock,an girl girl is shirt swimming underwater in other talk on a in his
2599131872_65789d86d5.jpg,"['two blond girls are playing together', 'two girls enjoy themselves whilst wind blows through their hair', 'two girls with long hair jumping on a trampoline', 'two little blonde girls twirl their hair', 'two little girls are playing on a trampoline']",a girl's hands paddle and sitting in front of an with pedestrian bride's up,a female haired woman in a white headscarf and blue and pink wig on front of a subway structure,the little girls bouncing his hair a in floor
2600170955_bf30c5d5c0.jpg,"['a boy in a green shirt is pushing a shopping cart in which a boy in a yellow shirt is riding', 'an enthusiastic boy pushes a shopping cart containing a smiling boy', 'one boy pushes a shopping cart with another smaller boy standing up in it', 'two boys play with a shopping cart in a parking lot', 'two small boys play in a shopping cart in a parking lot']",a brightly haired girl in a white swimsuit runs near a reflective backdrop,a bride tries to catch a man holding a drink,woman and riding people blue young beach in tank concrete of a behind
2602083686_e8a1af69cf.jpg,"['two ladies are wearing nothing except body paint and riding on bicycles in a street fair', 'two nude women painted black and white are riding bicycles on the road', 'two painted women ride bicycles on the street with onlookers nearby', 'two woman wearing body paint ride bikes through a crowd', 'two women in costume ride bikes']",a closeup of a man in a straw jacket jumps a three-wheeled banner,a bunch of women in black stand under a bar,woman man of shirt play girls bicycle in city hula-hoops his some
2602258549_7401a3cdae.jpg,"['a couple in a restaurant are holding hands', 'a couple holding hands across a table', 'a couple is sitting in a restaurant holding hands', 'a dimly lit room with several individuals including a young man and woman holding hands across a table', 'a man and woman are sitting at a restaurant table holding hands']",a couple dressed in a black and yellow metal room,a blond woman wearing a white shirt looking down while a crowd watches,four people of on each are around in dimly
2603033456_3584d95116.jpg,"['a boy in a white t-shirt is splashing in shallow water', 'a boy in white and red is at the beach', 'a child playing in water', 'a young boy wearing a white shirt is playing in the sea on a beach', 'boy running through the water at the beach']",a toddler wearing red with a black swimsuit jumps into a paddling pool,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a swimmer man is shorts shorts stands on the beach water a in the beach
2607099736_8681f601d9.jpg,"['a gymnast is bending over on a yellow mat on the grass', 'a wrestler jumping and pointing at the mat', 'a young wrestler being thrown to the yellow mat', 'the person in the blue shorts is wearing black shoes with white stripes', 'wrestler jumping in the air']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,an boxers man complimentary tea to festive patrons
2622517932_57c52c376f.jpg,"['a boy in a white shirt is looking through the glass at a little creature', 'a child looks at rodents in a glass display', 'a young boy looks through the glass at an aquarium at a stingray', 'a young child is kneeling and looking at a small creature inside a glass case', 'the little boy bends down to look at an animal']",a happy skater performs a skateboard,a kid plays with a blue and yellow blanket in a pen puddle,an child with a under up a in floor on and a with a another
2623982903_58ec7c5026.jpg,"['dogs race each other on a muddy track', 'greyhounds race on a track', 'muzzled greyhounds are racing on the track', 'race dogs midair while they run', 'several dogs running a race on a dirt track while wearing numbers']",a bicycler rides his bike on a desert path,a muzzled greyhounds being being watched in turn turn around a receiver,muzzled are competing racing a a by track shirt
262642489_f5c6b9e65b.jpg,"['a big brown dog swims towards the camera', 'brown dog treads through water', 'closeup image of a dog swimming', 'the furry brown dog is swimming in the ocean', 'wet brown dog swims towards camera']",a small brown dog is running in some water on a sunny day,a tan dog jumping on a beach,a black sits brown in dog the water splashing
2629295654_59ea1472a1.jpg,"['a brown dog is running on grass', 'a brown dog running across the grass', 'a brown dog running in a grass', 'a brown dog runs through a field', 'a dog bounds across the green grass']",a bunch of dogs are wearing white jerseys on the brown carpet,a pack of dogs with white and green trying to a bigger animal,a brown dog is open hair the the mouth field in catch lawn walk
263231469_e85c74f5fd.jpg,"['a person with their face covered standing in a desert', 'a woman in a headscarf in the desert', 'a young child walking in the desert with her head covered with a scarf', 'a young girl has her face covered with a traditional black scarf', 'girl wearing black headscarf walks in desert']",a laughing child jumps on a blue gym,a blonde haired girl in a white hooded dress that is punching his shirt in a park,two people in in in walks beach bikini beach on of a the her sandy
2632366677_43dee456a5.jpg,"['a brown dog next to a stone bench', 'a small dog sits under a bench', 'a small dog wearing a collar sits next to a concrete bench', 'a tan dog sits in the sand by a beach looking sad', 'the small dog is wearing a red collar and sits in the sand behind a stone object']",a german shepherd runs in a field of long grass,a pack of dogs with white and green hanging off a cracked pipe,a dog dog is sits
2635023078_6dae04758f.jpg,"['two guys stand outside of a building that has been spray painted with words', 'two men stand near a wall that has writing painted on it', 'two young men drink beer leaning on a graffitied wall', 'two young men in black jackets hanging out by a graffitied wall', 'two young men in jeans and dark jackets standing in front of a building']",a bald woman with a brown boy carrying her cap,a bunch of children in the street stand near an outside gallery,an man sits on the of overlooking pose standing holding front holding hand with
263522013_d118d46b2d.jpg,"['a brown dog on a rocky ground shakes off water from its body', 'a dog shaking off water', 'a dog shaking water off', 'a golden retriever is shaking off some water', 'a tan dog shaking the water off of himself']",a collie runs through the water,a wet child jumping on a blue bed,the brown dog is dog ball water
2635908229_b9fc90d3fb.jpg,"['a boy sits on a tree stump', 'a boy sits on the tall fence post and smiles', 'a boy sitting on a stump', 'a child sits on top of a large tree stump', 'a small boy in sandals sits on a wooden post in a field']",a male jumps over a rock,a teenage boy stands in a blue sea with their mouth spread out,an man man staring the riding with hat a
2637510448_4521cf6f29.jpg,"['a little girl in a pink and white ski suit and red helmet skies sideways on the snow covered slope', 'child in pink and white skying down a slope', 'little girl skis on slope', 'person in pink skis wearing skis on a slope', 'young skier in a pink ski-suit is on the side of a snowy hill']",a hiker sitting on a dirt bike set on the water waiting for a picture,a skier sliding off of a snow slope,a people in red shorts gear sandy in sand dune of a a air sunny
2638369467_8fc251595b.jpg,"['a girl in a white dress', 'a little girl in white is looking back at the camera while carrying a water grenade', 'a smiling young girl in braids is playing ball', 'a young girl wearing white looks at the camera as she plays', 'the girl is holding a green ball']",a male jumps over a rock,a toddler runs down a rock,the smartly man is trying is he does out shore mouth move with its
263850317_5bb3a18a08.jpg,"['an asian girl carrying a pink bag is walking away down a busy city street', 'a woman wearing black boots and a skirt walks down the sidewalk', 'a woman with a pink purse walks down a crowded sidewalk', 'a young woman in a black skirt and boots walks by stores', 'girl wearing a mini dress and long sleve white jacket with a pink bag walking through a crowded area']",a shopping pole wearing a black and yellow costume playing a saxophone next to a woman in black,a bride poses near a green wall at the playground,an colored wearing in at near and carrying city is a crowd in street for
2640000969_b5404a5143.jpg,"['a big brown dog jumps into a swimming pool on the backyard', 'a dog in mid-leap into a pool', 'brown dog jumping into the pool', 'the brown dog is jumping into the crystal-clear pool', 'the large brown dog is jumping into a swimming pool']",a cowboy sits on a park into land in front of them on a beach,a blonde haired girl in a white hooded dress that is punching his shirt in a park,two sit of is a jumps curb an the a leads
2644430445_47c985a2ee.jpg,"['a girl in a red shirt takes a picture on a phone', 'a woman in a low cut shirt takes a picture with her cellphone', 'a woman in a red shirt holding a cellphone', 'a woman taking pictures with her phone', 'the girl in sunglasses holds up her phone to take a picture of something']",a single american american and is wearing sunglasses and shorts,a runner sits and carrying a white pattern and singing,an man woman is and sunglasses and in a white park a on abdomen pants
2655196158_5c878a4af0.jpg,"['a dog chews on a toy on a blue blanket', 'a dog is laying on a blue rug chewing and making a mess', 'a gray dog chewing on a toy', 'a grey dog with blue eyes laying on a bright blue carpet while chewing on something', 'the gray blue eyed hound puppy is laying on a blue carpet chewing on a toy']",a flock of backs a camera,a shaggy white dog is running in wet sand with a multicolored flag,an dog man a another jumps from couch shirt a green by feet backyard up
2661489896_cc3425777e.jpg,"['a boy in shorts stands arms outstreched on a roadway', 'a child cavorts on the road', 'a child in white shorts and a blue shirt is standing in the street', 'a young boy wearing a hat dancing in the street', 'small boy is eating a lollipop and dancing in the street']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a child in shorts shorts shorts parking on shirt a of a the the street
2673148534_8daf0de833.jpg,"['a black dog runs paralell to a wire fence in a grassy medow', 'a brown dog is running along a grassy stretch divided by strings', 'a dog runs past an empty chair and a tripod between stretched strings marking a path through a grassy field', 'a dog with all fours up in the air above the clover-filled grass', 'the gray dog is running on a green field']",a german shepherd runs in a field of long grass,a german shepherd running in a blue seashore,three dog and is running with large in black yellow a on guns grassy
2678798732_2998f9969c.jpg,"['a photographer is holding his camera next to an orange barrier beside water', 'a photographer is kneeling in front of a railing that is protects falling into water', 'a photographer kneels down next to the edge of a dock with his camera', 'a smiling photographer', 'the crouching man is holding a large camera']",a male jumps over a rock,a bride spinning among a green dog that has sandals,the and girl shirt a is car holding tank is on a in black on
